sender_id,session_idx,marker,statistic,value
c4e98182858240028c42635f5be12861,0,marker_activity_level_provided,count(number of preceding user turns),65
c4e98182858240028c42635f5be12861,0,marker_activity_level_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_activity_level_provided,mean(number of preceding user turns),10.231
c4e98182858240028c42635f5be12861,0,marker_activity_level_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_activity_level_provided,min(number of preceding user turns),8
c4e98182858240028c42635f5be12861,0,marker_age_provided,count(number of preceding user turns),77
c4e98182858240028c42635f5be12861,0,marker_age_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_age_provided,mean(number of preceding user turns),9.727
c4e98182858240028c42635f5be12861,0,marker_age_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_age_provided,min(number of preceding user turns),7
c4e98182858240028c42635f5be12861,0,marker_allergens_expressed,count(number of preceding user turns),0
c4e98182858240028c42635f5be12861,0,marker_allergens_expressed,max(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_allergens_expressed,mean(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_allergens_expressed,median(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_allergens_expressed,min(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_allergens_provided,count(number of preceding user turns),87
c4e98182858240028c42635f5be12861,0,marker_allergens_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_allergens_provided,mean(number of preceding user turns),9.322
c4e98182858240028c42635f5be12861,0,marker_allergens_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_allergens_provided,min(number of preceding user turns),6
c4e98182858240028c42635f5be12861,0,marker_diet_expressed,count(number of preceding user turns),1
c4e98182858240028c42635f5be12861,0,marker_diet_expressed,max(number of preceding user turns),3
c4e98182858240028c42635f5be12861,0,marker_diet_expressed,mean(number of preceding user turns),3.0
c4e98182858240028c42635f5be12861,0,marker_diet_expressed,median(number of preceding user turns),3.0
c4e98182858240028c42635f5be12861,0,marker_diet_expressed,min(number of preceding user turns),3
c4e98182858240028c42635f5be12861,0,marker_diet_provided,count(number of preceding user turns),103
c4e98182858240028c42635f5be12861,0,marker_diet_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_diet_provided,mean(number of preceding user turns),8.573
c4e98182858240028c42635f5be12861,0,marker_diet_provided,median(number of preceding user turns),9.0
c4e98182858240028c42635f5be12861,0,marker_diet_provided,min(number of preceding user turns),4
c4e98182858240028c42635f5be12861,0,marker_gender_provided,count(number of preceding user turns),76
